Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
49,Indiamart Intermesh Ltd,INDIAMART,P&F | F.A,0.04%,2637,"1,58,652"
134,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,0.03%,486.55,"9,28,404"
77,Indusind Bank Limited,INDUSINDBK,P&F | F.A,0.01%,1474.65,"29,64,954"
111,State Bank Of India,SBIN,P&F | F.A,0.01%,773.1,"78,42,615"
60,Mphasis Limited,MPHASIS,P&F | F.A,0%,2243.5,"1,86,897"
72,Lupin Limited,LUPIN,P&F | F.A,0%,1580,"13,63,306"
16,Dr. Reddy's Laboratories Limited,DRREDDY,P&F | F.A,-0.02%,5950.8,"2,66,987"
6,Shree Cements Limited,SHREECEM,P&F | F.A,-0.04%,24369.15,"17,536"
53,Nestle India Limited,NESTLEIND,P&F | F.A,-0.04%,2500.15,"7,23,518"
114,Can Fin Homes Limited,CANFINHOME,P&F | F.A,-0.05%,743.85,"17,65,819"
142,Itc Limited,ITC,P&F | F.A,-0.07%,428.9,"58,45,709"
17,Atul Limited,ATUL,P&F | F.A,-0.09%,5902.45,"1,28,916"
176,The Federal Bank  Limited,FEDERALBNK,P&F | F.A,-0.10%,153.6,"71,80,182"
59,Hindustan Unilever Limited,HINDUNILVR,P&F | F.A,-0.11%,2260.25,"14,04,399"
88,Adani Ports And Special Economic Zone Limited,ADANIPORTS,P&F | F.A,-0.12%,1320.5,"25,53,035"
181,IDFC First Bank Ltd,IDFCFIRSTB,P&F | F.A,-0.12%,83.35,"2,47,45,036"
130,Marico Limited,MARICO,P&F | F.A,-0.17%,509.3,"5,53,415"
61,Mahindra & Mahindra Limited,M&M,P&F | F.A,-0.20%,2058.45,"19,29,834"
174,City Union Bank Limited,CUB,P&F | F.A,-0.22%,155.5,"20,86,097"
46,Asian Paints Limited,ASIANPAINT,P&F | F.A,-0.25%,2867.75,"7,18,496"
158,Rbl Bank Limited,RBLBANK,P&F | F.A,-0.25%,262.25,"79,67,360"
165,Aditya Birla Capital Ltd,ABCAPITAL,P&F | F.A,-0.25%,216.3,"2,31,76,504"
143,Tata Power Company Limited,TATAPOWER,P&F | F.A,-0.31%,428.3,"64,56,018"
179,Motherson Sumi Systems Limited,MOTHERSON,P&F | F.A,-0.39%,126.9,"94,01,296"
8,Maruti Suzuki India Limited,MARUTI,P&F | F.A,-0.40%,12944.05,"2,96,386"
160,Bank Of Baroda,BANKBARODA,P&F | F.A,-0.40%,259.1,"86,77,169"
87,Bharti Airtel Limited,BHARTIARTL,P&F | F.A,-0.44%,1336.4,"62,77,492"
139,Jubilant Foodworks Limited,JUBLFOOD,P&F | F.A,-0.45%,440.15,"10,70,542"
19,Siemens Limited,SIEMENS,P&F | F.A,-0.47%,5668.95,"2,66,184"
22,Coforge (Niit Tech),COFORGE,P&F | F.A,-0.47%,5192.65,"2,05,747"
135,Wipro Limited,WIPRO,P&F | F.A,-0.48%,459.9,"29,57,733"
76,Hcl Technologies Limited,HCLTECH,P&F | F.A,-0.50%,1479.25,"13,21,472"
57,Balkrishna Industries Limited,BALKRISIND,P&F | F.A,-0.53%,2332.7,"3,46,823"
1,Mrf Limited,MRF,P&F | F.A,-0.54%,128524.45,"4,696"
180,Idfc Limited,IDFC,P&F | F.A,-0.60%,124.2,"26,22,413"
45,Reliance Industries Limited,RELIANCE,P&F | F.A,-0.63%,2900.35,"52,31,388"
38,Titan Company Limited,TITAN,P&F | F.A,-0.64%,3609.75,"6,52,811"
79,SBI Life Insurance Company Ltd,SBILIFE,P&F | F.A,-0.67%,1460.05,"8,98,703"
43,Adani Enterprises Limited,ADANIENT,P&F | F.A,-0.70%,3043.55,"6,05,917"
124,Canara Bank,CANBK,P&F | F.A,-0.77%,596.95,"49,29,201"
80,Infosys Limited,INFY,P&F | F.A,-0.81%,1430.75,"42,68,213"
83,PVR Inox Ltd,PVRINOX,P&F | F.A,-0.84%,1408.3,"5,33,600"
98,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,-0.84%,1084.05,"9,23,839"
78,Oberoi Realty Limited,OBEROIRLTY,P&F | F.A,-0.91%,1460.6,"3,09,682"
116,Syngene International Limited,SYNGENE,P&F | F.A,-1.01%,694,"9,49,373"
5,Abbott India Limited,ABBOTINDIA,P&F | F.A,-1.06%,25452.55,"16,824"
10,Bajaj Auto Limited,BAJAJ-AUTO,P&F | F.A,-1.12%,8697.1,"3,19,824"
